all_games8;PS4_id_727;0;1
all_games17;PS4_id_727;1;0
all_games18;PS4_id_6348;1;0
all_games60;PS4_id_2800;1;0
all_games60;PS4_id_2801;1;1
all_games60;PS4_id_2802;1;1
all_games60;PS4_id_2803;1;1
all_games60;PS4_id_2804;1;1
all_games2195;PS4_id_967;0;2
all_games2131;PS4_id_1201;0;2
all_games2266;PS4_id_1443;0;2
all_games3731;PS4_id_510;0;2
all_games2103;PS4_id_282;0;2
all_games1855;PS4_id_37;0;2
all_games3055;PS4_id_917;0;2
all_games3141;PS4_id_1358;0;2
all_games403;PS4_id_1172;0;2
all_games25;PS4_id_404;0;2
all_games2494;PS4_id_693;0;2
all_games1075;PS4_id_13;0;2
all_games3731;PS4_id_7633;1;0
all_games3731;PS4_id_7634;1;1
all_games3731;PS4_id_7635;1;1
all_games1855;PS4_id_5790;0;1
all_games1855;PS4_id_5791;1;0
all_games1855;PS4_id_5792;0;1
all_games1855;PS4_id_5793;0;1
all_games1855;PS4_id_5794;0;1
all_games1855;PS4_id_5795;0;1
all_games1075;PS4_id_2492;1;0
all_games232;PS4_id_2492;0;1
