all_games25;Windowgames_1537;1;0
all_games25;Windowgames_1534;0;1
all_games25;Windowgames_1535;0;1
all_games25;Windowgames_1536;0;1
all_games25;Windowgames_1538;0;1
all_games25;Windowgames_1539;0;1
all_games25;Windowgames_1540;0;1
all_games26;Windowgames_1485;1;1
all_games32;Windowgames_2424;0;1
all_games33;Windowgames_2424;1;1
all_games39;Windowgames_1534;1;0
all_games39;Windowgames_1535;0;1
all_games39;Windowgames_1536;0;1
all_games39;Windowgames_1537;0;1
all_games39;Windowgames_1538;0;1
all_games39;Windowgames_1539;0;1
all_games39;Windowgames_1540;0;1
all_games43;Windowgames_348;1;0
all_games92;Windowgames_350;1;0
all_games43;Windowgames_349;0;1
all_games92;Windowgames_349;0;1
all_games46;Windowgames_329;0;2
all_games63;Windowgames_2567;0;1
all_games63;Windowgames_2568;1;1
all_games69;Windowgames_1092;1;0
all_games79;Windowgames_2051;1;0
all_games85;Windowgames_1485;0;1
all_games85;Windowgames_1489;1;0
all_games89;Windowgames_579;1;1
all_games90;Windowgames_2666;1;0
all_games90;Windowgames_2667;0;1
all_games95;Windowgames_1090;1;0
all_games100;Windowgames_1507;1;0
all_games46;Windowgames_256;1;0
all_games664;Windowgames_566;0;2
all_games3352;Windowgames_47;0;2
all_games1018;Windowgames_153;0;2
all_games2628;Windowgames_321;0;2
all_games2328;Windowgames_518;0;2
all_games694;Windowgames_340;0;2
all_games3156;Windowgames_524;0;2
all_games393;Windowgames_51;0;2
all_games2603;Windowgames_476;0;2
all_games670;Windowgames_751;0;2
all_games968;Windowgames_390;0;2
all_games3310;Windowgames_425;0;2
