all_games15139,Windowgames_3595,TRUE
all_games15198,Windowgames_2433,TRUE
all_games15642,Windowgames_347,TRUE
all_games17365,Windowgames_3248,TRUE
all_games16514,Windowgames_3084,TRUE
all_games15856,Windowgames_2171,TRUE
all_games15617,Windowgames_3207,FALSE
all_games15654,Windowgames_942,FALSE
all_games16231,Windowgames_480,TRUE
all_games16522,Windowgames_1024,TRUE
all_games16037,Windowgames_3161,FALSE
all_games16276,Windowgames_3090,FALSE
all_games16798.Windowgames_2790,FALSE
all_games17149,Windowgames_1136,FALSE
all_games17156,Windowgames_363,FALSE
all_games17332,Windowgames_1989,FALSE
all_games15556,Windowgames_614,FALSE
all_games18000,Windowgames_1585,FALSE
all_games18082,Windowgames_2471,FALSE
all_games18074,Windowgames_2330,FALSE
